position,flow_cell_id,product_code,passed,total_pore_count,timestamp
3E,PAW62801,FLO-PRO114M,True,6566,1715959579
3E,PAO95154,FLO-PRO114M,True,6472,1721315912
3E,CTC69172,FLO-PRO002,False,0,1724772703
3E,PAQ87259,FLO-PRO114M,True,5330,1726682350
3E,PAU29870,FLO-PRO114M,True,7714,1706023503
3E,PAW71128,FLO-PRO114M,True,6947,1715798149
3E,PAW29682,FLO-PRO114M,True,6827,1716396784
3E,PAW61146,FLO-PRO114M,True,5664,1721319943
3E,PAU57365,FLO-PRO114M,True,6893,1710173494
3E,PAW40151,FLO-PRO114M,True,7200,1716311089
3E,PAU29856,FLO-PRO114M,True,7941,1702907169
3E,PAU50447,FLO-PRO114M,True,5185,1721322302
3E,PAS46272,FLO-PRO114M,True,5847,1721323706
3E,PAU70587,FLO-PRO114M,True,5095,1710172033
3E,PAW95990,FLO-PRO114M,True,5738,1719320711
3E,PAW64301,FLO-PRO114M,True,6037,1715692850
3E,PAS65395,FLO-PRO114M,True,7064,1709050484
3E,PAW01969,FLO-PRO114M,True,7911,1710945315
3E,PAQ74172,FLO-PRO114M,True,6451,1699891175
3E,PAU29637,FLO-PRO114M,True,6146,1721326837
3E,PAS46799,FLO-PRO114M,True,5130,1712590363
3E,PAW71357,FLO-PRO114M,True,7038,1715790198
3E,PAW71707,FLO-PRO114M,True,6857,1714483722
3E,PAQ85313,FLO-PRO114M,False,4711,1705595327
3E,PAW83769,FLO-PRO114M,True,7884,1719853403
3E,PAY07972,FLO-PRO114M,True,7131,1723641168
